Taget:;Current:;Delta:;PWM:;pp:;ip:;dp:
50,0;51,5;-1,5;51,046;-3,000;54,046;0,000
50,0;51,5;-1,5;50,996;-3,000;53,996;0,000
50,0;51,5;-1,5;50,946;-3,000;53,946;0,000
50,0;51,5;-1,5;50,896;-3,000;53,896;0,000
50,0;51,5;-1,5;50,846;-3,000;53,846;0,000
50,0;51,5;-1,5;50,796;-3,000;53,796;0,000
50,0;51,5;-1,5;50,746;-3,000;53,746;0,000
50,0;51,5;-1,5;50,696;-3,000;53,696;0,000
50,0;51,5;-1,5;50,646;-3,000;53,646;0,000
50,0;51,5;-1,5;50,596;-3,000;53,596;0,000
50,0;51,5;-1,5;50,546;-3,000;53,546;0,000
50,0;51,5;-1,5;50,496;-3,000;53,496;0,000
50,0;51,5;-1,5;50,446;-3,000;53,446;0,000
50,0;51,5;-1,5;50,396;-3,000;53,396;0,000
50,0;51,5;-1,5;50,346;-3,000;53,346;0,000
50,0;51,5;-1,5;50,296;-3,000;53,296;0,000
50,0;51,5;-1,5;50,246;-3,000;53,246;0,000
